Cryomodule,Cavity,Tune Config,Steps to Cold Landing,DF Cold,HW Mode
01,1,1,-15490000,82615.691658592,0
01,2,1,-39772000,216258.18932576,2
01,3,1,-20890000,114597.81675505,0
01,4,1,-42611362,192086.76733157,0
01,5,1,-19130000,104807.26547362,0
01,6,1,-11975000,64652.036389959,0
01,7,1,-16898000,90010.095974178,0
01,8,1,-19624000,107163.75968048,0
02,1,1,-43944000,226472.02427441,0
02,2,1,-45279000,243883.78058413,0
02,3,1,-42568000,230226.3965006,0
02,4,1,-61540000,293382.37154594,0
02,5,1,-44652000,240435.35439924,0
02,6,1,-65823650,319739.89743632,0
02,7,1,-61167319,327707.51164918,0
02,8,1,-38750000,211033.30415584,0
03,1,1,-42671729,205654.44982326,0
03,2,1,-24879674,134276.80011121,0
03,3,1,-25777170,139314.79235298,0
03,4,1,-45197000,212435.29729689,0
03,5,1,-27696000,149777.78436257,0
03,6,1,-20600000,111195.98355076,0
03,7,1,-24694000,134107.75422098,0
03,8,1,-28021999,150826.76079438,0
H1,1,1,-16567106,-692323.0,0
H1,2,1,-19772902,-788753.0,0
H1,3,1,-21964288,-857196.0,0
H1,4,1,-21755382,-808127.0,0
H1,5,1,-19524066,-849756.0,0
H1,6,1,-18876567,-808282.0,0
H1,7,1,-19071894,-855717.0,0
H1,8,1,-20662000,-831134.0,0
H2,1,1,-18446963,-518369.0,0
H2,2,1,-15680000,-574485.0,0
H2,3,1,-16821000,-503460.0,0
H2,4,1,-17550000,-912236.0,0
H2,5,1,-21565008,-585711.0,0
H2,6,1,-12576394,-519879.0,0
H2,7,1,-18176679,-557619.0,0
H2,8,1,-16461775,-566951.0,0
04,1,1,-26667000,143277.80689633,0
04,2,1,-29384000,158015.65641657,0
04,3,1,-21157000,112641.19317474,0
04,4,1,-25618908,134654.92625247,0
04,5,1,-23600000,119009.82144828,0
04,6,1,-31655000,167532.06565264,0
04,7,1,-69530000,0.0,2
04,8,1,-27574999,145298.95787307,0
05,1,1,-3010000,15675.3,0
05,2,1,-5255000,28165.4,0
05,3,1,-28539000,154334.0,0
05,4,1,-20753000,112838.0,0
05,5,1,7557044,-40598.3,0
05,6,1,-24556528,132133.0,0
05,7,1,-30125996,163859.0,0
05,8,3,-15700000,84100.3,2
06,1,1,-13500000,72973.718345415,0
06,2,1,-28285000,153852.08890008,0
06,3,1,-13830000,76134.652139985,0
06,4,1,-24200000,132520.70011161,0
06,5,1,-16059000,87393.777449773,0
06,6,1,-33733000,185787.32311351,0
06,7,1,-12158000,66331.190454452,0
06,8,1,-35152400,190684.41637233,0
07,1,1,-11405000,56020.47514806,0
07,2,1,-12120000,65235.178802115,0
07,3,1,-11180000,59747.632382133,0
07,4,1,-13358054,71943.49490505,0
07,5,1,-18547500,100864.02138932,0
07,6,1,-17239000,93094.293450371,0
07,7,1,-25696961,137677.18336115,0
07,8,1,-36383000,194395.4404612,0
08,1,1,-7020000,34586.423980207,0
08,2,1,-19065000,104261.08282031,0
08,3,1,-18907000,102674.05187962,0
08,4,1,-17240000,93952.874775042,0
08,5,1,-23569000,129226.79300288,0
08,6,1,-17804000,96749.397433336,0
08,7,1,-30750000,168166.30751296,0
08,8,1,-11423000,62873.440133709,0
09,1,1,-24138107,131991.63949714,0
09,2,1,-16176650,87740.721796358,0
09,3,1,3766000,-20257.092435948,0
09,4,1,-6227000,33571.002976112,0
09,5,1,-10319691,55970.8239185,0
09,6,1,-12801000,69272.080124432,0
09,7,1,-20567000,113071.53500105,0
09,8,1,-10319000,56234.117303876,2
10,1,1,-21155000,113510.5004313,0
10,2,1,-18975000,103391.94233498,0
10,3,1,-21880000,117719.83675015,0
10,4,1,-24296000,132643.56313997,0
10,5,1,-14919000,80884.374155729,0
10,6,1,-19870000,108904.18096118,0
10,7,1,-15720000,86426.856893502,0
10,8,1,-21149000,114936.35179035,0
11,1,1,-25210000,136210.6680801,0
11,2,1,-17635000,95341.942011781,0
11,3,1,-28122000,153173.62066534,0
11,4,1,-21000000,114143.47832741,0
11,5,1,-19146710,103268.88134221,0
11,6,1,-19843000,108393.36384258,0
11,7,1,-20095000,109329.08794721,0
11,8,1,-28473000,147608.7812479,0
12,1,1,0,0.0,2
12,2,1,-8005000,43378.024451283,0
12,3,1,11857000,-62749.955611659,0
12,4,1,-12470000,66048.472476933,0
12,5,1,-10557000,56005.959670107,0
12,6,1,-10557000,56507.546962916,0
12,7,1,-7525000,40223.592926762,0
12,8,1,-15044000,80524.99162191,0
13,1,1,-21311000,115161.82359637,0
13,2,1,-24238000,132363.53343553,0
13,3,1,-17403000,96108.248662452,0
13,4,1,-14520000,79437.113221976,0
13,5,1,-27546000,149282.58589273,0
13,6,1,-19057000,103693.12836259,0
13,7,1,-22847000,123992.87042523,0
13,8,1,-23280000,127166.29634265,3
14,1,1,-8795000,47896.950569743,0
14,2,1,-13960000,76858.080851224,0
14,3,1,-9515000,52309.905886176,0
14,4,1,-22965000,127500.10848594,0
14,5,1,-26833000,145346.59212571,0
14,6,1,-10158000,55732.112051621,0
14,7,1,-9270000,50984.548016098,0
14,8,1,-16720000,91776.252154417,0
15,1,1,14315000,-70532.418921766,0
15,2,1,-12690000,67033.657491878,0
15,3,1,-18290000,96470.759912022,0
15,4,1,-24080000,126542.81671669,0
15,5,1,15022000,80046.629724296,0
15,6,1,-30879000,160292.84569721,0
15,7,1,-38557000,202915.80702965,0
15,8,1,-26101000,132075.67514737,0
16,1,1,-18305316,98950.8,0
16,2,1,-13015000,71711.5,0
16,3,1,-22450000,121535.0,0
16,4,1,-10289000,55638.1,0
16,5,1,-22110000,120140.25151726,0
16,6,1,-27605000,151619.44041236,0
16,7,1,-22769000,124613.77686561,0
16,8,1,-13555000,73790.663549834,2
17,1,1,-7765000,42427.86898939,0
17,2,1,-11688000,64178.121081712,0
17,3,1,-4371000,23805.931800782,0
17,4,1,-9447000,52014.787500365,0
17,5,1,-2936000,15956.241056132,0
17,6,1,-19273000,105071.97216149,0
17,7,1,-25300000,139582.55487923,3
17,8,1,-23631000,130406.6959687,3
18,1,1,-33663000,177228.24661546,0
18,2,1,-34307000,184158.60342714,0
18,3,1,-48268000,256282.34784938,0
18,4,1,-48410000,263771.18509232,0
18,5,1,-47238000,256621.26167674,0
18,6,1,-41883420,224969.79935271,0
18,7,1,-35474000,189575.57369187,0
18,8,1,-23704000,128709.02678735,0
19,1,1,-21613000,116731.96712471,0
19,2,1,-20703000,112058.69264605,0
19,3,1,-18680000,101161.2890553,0
19,4,1,-9295000,39149.610559342,0
19,5,1,-13116500,71777.455323154,0
19,6,1,-21861500,118645.66938548,0
19,7,1,-15140000,81074.472200348,0
19,8,1,-20982000,112840.56909457,0
20,1,1,-17455000,93724.697700638,0
20,2,1,-5155000,27820.245768061,0
20,3,1,-16620000,90085.102840061,0
20,4,1,-25830000,140482.36199549,0
20,5,1,-18643500,101966.22006546,0
20,6,1,-27246000,147955.54795385,0
20,7,1,-16203000,88098.087143216,0
20,8,1,-15079000,80457.945629767,0
21,1,1,-17827000,96419.197372554,0
21,2,1,-20437000,111521.58120918,0
21,3,1,-10378000,56786.066003085,0
21,4,1,-20580000,113409.36221257,0
21,5,1,-17125000,94194.161330111,0
21,6,1,-22363000,122207.37651242,0
21,7,1,-15855000,87140.746882239,0
21,8,1,-14805000,80645.476934018,0
22,1,1,-19661500,106680.50073616,0
22,2,1,-26137000,139982.00951753,0
22,3,1,-24062000,128257.98652781,0
22,4,1,-26439000,143230.60321417,0
22,5,1,-7170000,38032.195721867,0
22,6,1,-12510000,66663.493079909,0
22,7,1,-12044000,65411.459024955,0
22,8,1,-20393000,111659.90695204,0
23,1,1,-20030100,109101.95058923,0
